x,y
189696.92779130928,553864.833414069
189695.86638793544,553863.7723722293
189694.804984562,553862.7113303944
189693.74256664774,553861.6473551285
189692.68014873736,553860.5833798734
189691.62143320066,553859.5203485463
189690.56271766458,553858.4573172319
189689.5030539382,553857.3914726435
189688.44339021377,553856.3256280579
189686.33944741232,553854.2068925226
189685.9734512828,553853.838322283
189683.86885453734,553851.7189891513
189682.80990620807,553850.6526257579
189681.75095787854,553849.5862623658
189679.6461796563,553847.4696284129
189677.5738357128,553845.3871528192
189675.4709996588,553843.2654882103
189673.37043256676,553841.1461075795
189671.2675983811,553839.0244449899
189669.17552318907,553836.9190481459
189667.05637269994,553834.824411025
189666.93258508266,553834.702195591
189664.80622387206,553832.6041735838
189662.67508003992,553830.501429723
189742.25876999868,553911.7999897446
189740.05537482092,553909.787472517
189739.85608073373,553909.605438714
189737.6486964859,553907.5924970156
189735.63142242574,553905.7553772087
189734.52527672338,553904.7423046564
189733.41913102719,553903.7292321126
189732.31298344384,553902.7161585812
189731.2068358599,553901.7030850555
189728.99921344282,553899.6842213067
189727.7059778762,553898.5015611826
189726.59776752573,553897.4840011527
189725.48955718198,553896.4664411227
189724.3844196423,553895.4503218819
189723.2792821082,553894.4342026502
189722.17515467637,553893.4185722866
189721.07102724153,553892.4029419307
189719.96690167568,553891.3873135346
189718.86277610905,553890.3716851478
189716.67404227168,553888.3336327496
189716.21105727422,553887.9025204057
189715.11472874312,553886.8790722964
189714.01840020888,553885.8556241913
189712.92207168887,553884.8321756233
189711.82574317016,553883.8087270594
189710.7278435707,553882.7727975094
189709.62994397787,553881.7368679715
189708.53482027032,553880.7010392922
189707.43969656338,553879.6652106298
189706.35918451552,553878.6245240625
189705.27867247522,553877.5838375064
189704.65010368373,553876.9784363499
189703.5713530077,553875.9363743301
189702.492602328,553874.8943123202
189700.3486149003,553872.8120204399
189698.93913429638,553871.4415019702
189697.86854097928,553870.3883184582
189696.7979476578,553869.3351349577
189694.67146417763,553867.2360474934
189693.2075394856,553865.7862063741
189692.14340157315,553864.7284745014
189691.07926366123,553863.6707426345
189688.962274284,553861.553094889
189687.28945136155,553859.877087707
189686.23171182032,553858.8136623155
189685.17397227988,553857.7502369324
189684.11611578963,553856.6861228398
189683.0582593022,553855.6220087499
189682.0008843114,553854.5582148993
189680.94350932358,553853.4944210649
189679.88613433208,553852.4306272306
189678.82875934354,553851.366833411
189677.7699833672,553850.3036182622
189676.7112073959,553849.2404031233
189675.90996316925,553848.4371855638
189674.84860979038,553847.3766747687
189673.78725641212,553846.3161639809
189671.66473397656,553844.1974144144
189670.60278926525,553843.1374862146
189669.54084455452,553842.0775580192
189668.47890174997,553841.0176298753
189667.416958946,553839.9577017415
189665.29568943637,553837.8590270324
189664.97870333376,553837.5462170829
189663.90463714313,553836.4982579633
189662.83057095975,553835.450298853
189661.55032747495,553834.205843511
189660.27008399708,553832.9613881882
189740.10072701817,553914.2238420948
189738.98126034185,553913.1976490585
189737.8617936604,553912.1714560315
189736.72715427077,553911.1318523218
189734.5228828028,553909.1165963568
189734.18820477062,553908.8101391054
189733.08170578882,553907.7973546801
189731.97520680868,553906.7845702699
189730.86852577826,553905.7703475296
189729.76184475582,553904.7561247984
189727.55056663827,553902.7318440058
189725.33864131465,553900.7074998703
189723.13333665393,553898.6798556278
189722.58763516982,553898.1781188404
189720.39073860296,553896.1554969437
189718.18885069687,553894.1282803646
189715.99058279855,553892.103143833
189713.78931021958,553890.073547447
189711.5940066123,553888.0486334184
189710.48873457737,553887.0175163822
189709.3834625463,553885.9863993531
189707.21753970016,553883.9273857418
189705.50208326298,553882.2966035642
189704.41981037846,553881.2581670828
189703.33753749487,553880.2197306148
189702.25526520127,553879.181294399
189701.1729929086,553878.1428581986
189700.08707886463,553877.0967712132
189699.00116482092,553876.0506842443
189697.92386550896,553875.007018541
189696.84656619784,553873.9633528583
189695.7732385098,553872.9093686237
189694.69991082093,553871.8553844005
189693.6310618519,553870.8025347107
189692.56221288347,553869.7496850266
189691.67772108637,553868.878433011
189689.55510498548,553866.7744929767
189688.14674513423,553865.3785240697
189687.08275436115,553864.3154523819
189686.01876359183,553863.2523807081
189683.90540155006,553861.1363811169
189682.36779261628,553859.595867862
189681.30826206953,553858.5336013206
189680.2487315256,553857.4713347806
189679.1892000569,553856.4090668005
189678.12966858875,553855.3467988211
189677.0701380337,553854.2845327917
189676.0106074815,553853.2222667651
189674.95107597258,553852.1600007385
189673.89154446652,553851.097734709
189671.77399505107,553848.9879342908
189671.21988602696,553848.4377163877
189670.15458669743,553847.3810710822
189669.08928737522,553846.3244257922
189666.96058333293,553844.2205167351
189665.89290059943,553843.1663338675
189664.82521786424,553842.1121510104
189663.75753135644,553841.0579661708
189662.689844847,553840.003781342
189660.54346824586,553837.9110479195
189659.4796084293,553836.8737766012
189657.89954452624,553835.3427467656
189737.88891998815,553916.72168425
189736.78242074908,553915.7076589179
189735.6759215091,553914.6936336034
189735.24367358474,553914.2975084328
189733.03192442626,553912.2720595989
189730.8269745297,553910.2479993361
189729.59597888205,553909.117990597
189727.38823000036,553907.0895750434
189725.18689671156,553905.0708890975
189723.55100290867,553903.5708128153
189721.34023949283,553901.5454748363
189719.12947799044,553899.5201369415
189718.0206531373,553898.5038466553
189716.91182828206,553897.4875563735
189714.70662797918,553895.4558209218
189713.6043243511,553894.4382561006
189712.50202072444,553893.4206912944
189711.78205200552,553892.7560636486
189709.58066061864,553890.7229577907
189708.4664253315,553889.6938978363
189707.37376345246,553888.6660652044
189706.28110157672,553887.6382325812
189705.18637507048,553886.6001688694
189704.0916485576,553885.5621051597
189703.0031563238,553884.526588944
189701.91466410132,553883.4910727347
189700.82824773827,553882.4564503175
189699.7418313873,553881.4218279124
189698.65541494932,553880.3872052709
189697.56899850996,553879.3525826478
189695.4092263672,553877.275866668
189694.29039102828,553876.1975526315
189693.21652430177,553875.1468068585
189692.1426575796,553874.0960610905
189690.001648985,553871.9954105152
189688.93092005304,553870.944034298
189687.86019112158,553869.8926580907
189685.72023132228,553867.79092619
189684.65239057134,553866.7372443056
189683.58454982552,553865.6835624189
189682.8137640416,553864.9229962263
189680.68944999893,553862.8232577071
189678.5617900788,553860.720211836
189676.4389191749,553858.6223935364
189674.30974896162,553856.5209388782
189672.17892806802,553854.4172783394
189670.0536192564,553852.3115854765
189667.91986874506,553850.2067467115
189666.12186377542,553848.4316805467
189663.9862259386,553846.3427313698
189661.85792739777,553844.264922064
189659.717820861,553842.1805130644
189657.58148157044,553840.0997781019
189656.46926975597,553839.0165127786
189655.3570579364,553837.9332474552
189735.49190378055,553919.366396448
189733.28031595628,553917.3441212978
189731.06822661796,553915.3231822192
189730.32438412067,553914.6437566766
189728.11644409708,553912.6284359393
189725.89769650687,553910.6116680246
189723.69509536872,553908.6145367651
189723.501978327,553908.43982018
189721.2781868091,553906.4280914112
189720.15986343857,553905.409658804
189719.04154006531,553904.3912262094
189716.83126795662,553902.3644070522
189715.7226741854,553901.3398210972
189714.61408042116,553900.3152351613
189712.43374912164,553898.2832778518
189712.2077280125,553898.0726380153
189711.10905911954,553897.0428504405
189710.01039022568,553896.0130628771
189708.91630673278,553894.9867559834
189707.82222324554,553893.960449099
189706.7259669104,553892.9269203215
189705.62971057845,553891.893391561
189704.53736891202,553890.8589895653
189703.44502724282,553889.8245875788
189701.28190960878,553887.7508580672
189700.73798986306,553887.2294145433
189698.57628298126,553885.1528791218
189696.41359589386,553883.0757277128
189694.25165370418,553880.999991792
189692.08810386233,553878.9237571885
189689.94130500805,553876.8431487149
189688.86397872173,553875.7995103678
189687.78665243398,553874.7558720371
189687.0916906652,553874.0826425386
189684.95667355403,553872.0159783761
189682.8046970929,553869.9476701999
189680.65137200677,553867.8780648386
189678.49939839082,553865.809757752
189676.36051407966,553863.8057478478
189674.18497635607,553861.7739715398
189672.00650379623,553859.7424265101
189671.85072643205,553859.5971544371
189669.657773305,553857.5523012464
189667.48474356573,553855.5352301489
189665.79680008357,553853.9694171664
189663.60336891678,553851.9285596968
189661.41252735318,553849.9021573127
189659.83573579555,553848.4437134186
189657.6404850973,553846.4219192241
189655.46771541602,553844.4270288101
189653.25712110393,553842.4084463186
189652.18327267418,553841.4280009582
189746.89420593018,553906.7748720635
189748.61374441392,553908.318303703
189750.71946672827,553910.2083677228
189752.534551715,553911.8375606701
189752.82952859855,553912.1684853376
189753.09457405735,553912.5238542266
189753.32767454846,553912.9009667783
189753.52705942525,553913.2969575948
189753.69121480858,553913.7088179146
189753.8188940169,553914.1334186764
189753.90912762395,553914.567533859
189753.96123050686,553915.0078651946
189753.97480658683,553915.4510672187
189753.94975401307,553915.8937727401
189753.88626268157,553916.3326183017
189753.78481658344,553916.7642697352
189753.64618704817,553917.185448213
189753.471426975,553917.59295389
189753.26186459625,553917.9836907707
189753.01909343895,553918.3546901196
189752.7449570245,553918.703134457
189752.4415389327,553919.0263766493
