x,y
190454.87607096482,553107.4101795811
190474.07819127032,553101.1984963003
190517.35446416572,553098.2826422384
190522.87390391028,553105.0552601212
190528.5325738539,553112.0449551136
190533.33696692908,553118.001524751
190539.22241394094,553125.3294436389
190542.20774448058,553129.0246695526
190544.57495994616,553131.9530875034
190547.31259048326,553135.3397358437
190549.8865875759,553138.5239576736
190552.40444872846,553141.6387351654
190553.82027976302,553143.3902211606
190554.12260421627,553148.7086057136
190557.88854817787,553153.3390091283
190559.77473660908,553155.6674475269
190563.5220849658,553160.3132237319
190565.394015601,553162.6329807309
190567.89068698444,553165.7243851373
190571.1022999626,553169.6921912038
190573.24851741275,553172.3437475449
190576.99962964206,553176.9780824895
190580.40524125716,553181.16802774
190583.41775802866,553184.8804141694
190585.29345736385,553187.1988378913
190589.04485461907,553191.8356837429
190591.98536946523,553195.4753420437
190595.74493308595,553200.1324567267
190599.61711868813,553204.9492109693
190601.3810196686,553207.1439658476
190604.90882161295,553211.5334757081
190608.43662352994,553215.9229856932
190610.200524479,553218.1177407342
190613.72832635607,553222.5072509226
190615.49222727955,553224.7020060658
190617.25612820574,553226.8967612506
190620.88310636138,553231.3804396823
190626.52528426054,553238.3120744049
190628.41156394882,553240.6365976179
190638.48282709904,553253.0593976334
190644.1493166611,553260.0577832682
190647.92510911013,553264.7235348822
190650.75476904988,553268.2164655577
190654.54035130123,553272.8742207043
190657.3814518334,553276.3662421744
190660.96921766605,553280.7537871505
190666.9454768386,553283.2039940159
190670.3983169516,553287.4487497949
190673.66315654464,553291.4623863914
190677.71849234804,553296.447821378
190682.06980822526,553301.7835731534
190684.7904586116,553310.10222174
190685.36322777474,553317.3580184376
190690.77996572282,553322.5517476052
190690.38336185794,553335.0060801612
190690.72444500777,553348.5660104749
190686.25773549863,553352.3427922731
190682.3796995436,553355.7045303149
190677.8581449199,553359.6283159932
190673.33659027293,553363.5521034367
190671.07581291703,553365.5139989932
190666.55179729813,553369.4393237229
190662.02777781012,553373.3600391308
190657.50375910645,553377.2807519905
190652.97973869182,553381.2014675514
190649.58093066228,553384.1470252251
190643.93875126948,553389.0380120771
190638.14696074073,553389.3861942354
190631.36872944588,553395.2662229111
190626.8499085812,553399.1862443755
190623.76694239737,553401.8609235808
190616.15287889386,553408.3278974344
190612.78189002787,553411.332250225
190609.9731927196,553413.8357228057
190605.44122997214,553417.7466408437
190600.66978263776,553426.5541004335
190595.77246910532,553430.8022153428
190588.8674009301,553432.1238068716
190584.3468768756,553436.0395711435
190576.90642143448,553438.4742817468
190551.92091536138,553443.9744134177
190543.31971455808,553444.4689573386
190534.33483696924,553443.9039956741
190528.46501626333,553441.7333953425
190521.08577366098,553437.3770394762
190517.30451454213,553432.7191877962
190513.523258202,553428.0613320373
190510.68731410545,553424.5679459966
190507.85137098678,553421.0745595956
190504.47473766762,553416.8959296555
190500.81640275836,553407.4324364718
190482.8790179888,553380.4706200929
190479.1231208782,553375.8208688905
190477.2451707108,553373.4959902079
190471.61132672295,553366.5213597898
190465.97748183494,553359.5467354181
190460.34363231668,553352.5721017544
190454.70979595763,553345.5974744374
190445.31121791925,553333.9864474721
190410.34285191298,553290.8327834171
190406.57308808237,553286.1835295521
190400.91370430036,553279.210409621
190398.52575814576,553276.2681413576
190395.25432044797,553272.2372905127
190389.5949355888,553265.2641688668
190387.58767053016,553257.4984180123
190381.91896865412,553250.5058430143
190371.58009846768,553242.9523029295
190364.3267617592,553238.8476171619
190360.56748362049,553234.2166121575
190358.62625980517,553221.5942900253
190360.1031299881,553185.5651011204
190361.78898174144,553176.5529959034
190364.17126614804,553166.7757110841
190367.29503580654,553160.6592532798
190372.26867419778,553152.981568863
190375.09977404613,553150.8985537897
190379.55789674184,553147.5900642326
190384.05607007336,553148.218450594
190389.483050088,553148.0446101972
190436.3662054594,553121.0465233284
190438.78088585343,553119.2828626968
190443.61024526352,553115.7555405704
190447.39666941436,553113.0451805699
190452.4765577965,553109.1919883797
190461.44133701836,553102.535003741
190465.69206933203,553099.3971024774
190469.94280168053,553096.2592010899
190480.6999173449,553085.8267622452
190482.9579295716,553083.047120946
190487.2096008929,553081.08709034
190489.99982725683,553077.947546512
190496.20386778656,553077.102208816
190498.55690838036,553075.1223387837
190506.58206506434,553067.4316516054
190513.9989134681,553060.834684625
190518.167418989,553057.5492456086
190521.71458441718,553054.8958244919
190524.94189148472,553052.46881174
190526.72803531974,553051.1255889587
190528.90573832984,553049.4879033613
190531.31878239583,553047.6732353355
190534.41838185836,553047.2096623752
190538.967198007,553046.4255027438
190540.65193620702,553045.1746670892
190541.84778987718,553039.7786540722
190544.38924431085,553037.8844483854
190547.0145949761,553035.9187488059
