x,y,,dx,dy,d
190396.608422312,553162.272846075,,-8.43178905799869,6.25085024663713,10.4961038259189
190387.219813112,553169.231322276,,-9.38860920042498,6.95847620128188,11.6861616351183
190381.490199913,553173.479376386,,-5.72961319898604,4.24805411044508,7.13263143133475
190373.616828021,553179.321649775,,-7.87337189211394,5.84227338887285,9.80419008903141
190366.590748873,553184.559939492,,-7.02607914729742,5.2382897164207,8.76387285035825
190359.56466982,553189.79822888,,-7.02607905300101,5.23828938871156,8.76387257888359
190354.880617163,553193.290421635,,-4.68405265780166,3.49219275463838,5.84258158151066
190343.170485701,553202.020902876,,-11.7101314614993,8.73048124124762,14.6064534213262
190331.460354478,553210.751383236,,-11.7101312233426,8.7304803597508,14.6064527035108
190326.77630206,553214.243575121,,-4.68405241746223,3.49219188524876,5.84258086918196
